'Elapsed time','FECG','UC'
'hh:mm:ss.mmm','mV','mV'
'0:00.000',-104.315,60.875
'0:00.002',0.150,1.315
'0:00.004',83.360,0.000
'0:00.006',0.060,0.000
'0:00.008',0.000,0.010
'0:00.010',0.000,0.005
'0:00.012',0.000,0.010
'0:00.014',0.010,0.010
'0:00.016',0.780,-145.760
'0:00.018',87.650,0.000
'0:00.020',4.845,0.725
'0:00.022',4.840,0.715
'0:00.024',4.815,0.725
'0:00.026',4.825,0.715
'0:00.028',4.810,0.720
'0:00.030',4.820,0.720
'0:00.032',4.850,0.715
'0:00.034',4.845,0.720
'0:00.036',4.845,0.725
'0:00.038',4.845,0.730
'0:00.040',4.840,0.730
'0:00.042',4.850,0.705
'0:00.044',4.815,0.730
'0:00.046',4.815,0.720
'0:00.048',4.830,0.725
'0:00.050',4.840,0.735
'0:00.052',4.845,0.720
'0:00.054',4.845,0.730
'0:00.056',4.835,0.720
'0:00.058',4.865,0.720
'0:00.060',4.840,0.720
'0:00.062',4.825,0.720
'0:00.064',4.820,0.725
'0:00.066',4.820,0.730
'0:00.068',4.830,0.725
'0:00.070',4.835,0.725
'0:00.072',4.830,0.720
'0:00.074',4.855,0.725
'0:00.076',4.845,0.730
'0:00.078',4.840,0.715
'0:00.080',4.825,0.725
'0:00.082',4.830,0.720
'0:00.084',4.840,0.730
'0:00.086',4.815,0.720
'0:00.088',4.810,0.720
'0:00.090',4.835,0.725
'0:00.092',4.830,0.725
'0:00.094',4.835,0.725
'0:00.096',4.825,0.710
'0:00.098',4.845,0.720
'0:00.100',4.860,0.730
'0:00.102',4.840,0.730
'0:00.104',4.825,0.730
'0:00.106',4.825,0.720
'0:00.108',4.835,0.720
'0:00.110',4.825,0.725
'0:00.112',4.810,0.730
'0:00.114',4.850,0.715
'0:00.116',4.850,0.730
'0:00.118',4.850,0.730
'0:00.120',4.835,0.730
'0:00.122',4.850,0.725
'0:00.124',4.835,0.725
'0:00.126',4.815,0.720
'0:00.128',4.815,0.720
'0:00.130',4.830,0.730
'0:00.132',4.840,0.715
'0:00.134',4.840,0.730
'0:00.136',4.845,0.725
'0:00.138',4.860,0.735
'0:00.140',4.850,0.725
'0:00.142',4.830,0.710
'0:00.144',4.820,0.725
'0:00.146',4.810,0.720
'0:00.148',4.830,0.725
'0:00.150',4.835,0.725
'0:00.152',4.845,0.725
'0:00.154',4.845,0.715
'0:00.156',4.840,0.730
'0:00.158',4.840,0.715
'0:00.160',4.830,0.720
'0:00.162',4.840,0.725
'0:00.164',4.820,0.720
'0:00.166',4.820,0.725
'0:00.168',4.820,0.730
'0:00.170',4.835,0.735
'0:00.172',4.835,0.715
'0:00.174',4.835,0.720
'0:00.176',4.850,0.725
'0:00.178',4.850,0.725
'0:00.180',4.835,0.715
'0:00.182',4.830,0.720
'0:00.184',4.845,0.735
'0:00.186',4.820,0.725
'0:00.188',4.820,0.720
'0:00.190',4.825,0.720
'0:00.192',4.835,0.715
'0:00.194',4.830,0.725
'0:00.196',4.825,0.725
'0:00.198',4.860,0.715
'0:00.200',4.855,0.725
'0:00.202',4.845,0.725
'0:00.204',4.840,0.735
'0:00.206',4.840,0.715
'0:00.208',4.825,0.720
'0:00.210',4.810,0.715
'0:00.212',4.835,0.730
'0:00.214',4.835,0.720
'0:00.216',4.845,0.725
'0:00.218',4.850,0.725
'0:00.220',4.840,0.720
'0:00.222',4.860,0.730
'0:00.224',4.840,0.715
'0:00.226',4.815,0.725
'0:00.228',4.820,0.725
'0:00.230',4.830,0.725
'0:00.232',4.825,0.725
'0:00.234',4.835,0.720
'0:00.236',4.860,0.730
'0:00.238',4.845,0.720
'0:00.240',4.840,0.730
'0:00.242',4.835,0.715
'0:00.244',4.830,0.725
'0:00.246',4.825,0.720
'0:00.248',4.810,0.725
'0:00.250',4.830,0.725
'0:00.252',4.835,0.730
'0:00.254',4.840,0.730
'0:00.256',4.840,0.720
'0:00.258',4.840,0.715
'0:00.260',4.855,0.725
'0:00.262',4.845,0.725
'0:00.264',4.830,0.725
'0:00.266',4.825,0.715
'0:00.268',4.820,0.725
'0:00.270',4.830,0.725
'0:00.272',4.835,0.725
'0:00.274',4.830,0.725
'0:00.276',4.840,0.710
'0:00.278',4.845,0.715
'0:00.280',4.850,0.730
'0:00.282',4.840,0.715
'0:00.284',4.830,0.730
