'sample interval','vx'
'0.001 sec','mV'
0,-0.084
1,-0.082
2,-0.080
3,-0.082
4,-0.084
5,-0.083
6,-0.083
7,-0.085
8,-0.082
9,-0.080
10,-0.081
11,-0.079
12,-0.079
13,-0.079
14,-0.077
15,-0.077
16,-0.077
17,-0.077
18,-0.076
19,-0.079
20,-0.079
21,-0.075
22,-0.074
23,-0.075
24,-0.075
25,-0.077
26,-0.078
27,-0.077
28,-0.077
29,-0.076
30,-0.074
31,-0.072
32,-0.074
33,-0.074
34,-0.074
35,-0.074
36,-0.071
37,-0.071
38,-0.073
39,-0.074
40,-0.075
41,-0.075
42,-0.074
43,-0.072
44,-0.074
45,-0.074
46,-0.074
47,-0.075
48,-0.073
49,-0.074
50,-0.074
51,-0.072
52,-0.075
53,-0.074
54,-0.071
55,-0.070
56,-0.070
57,-0.071
58,-0.070
59,-0.070
60,-0.070
61,-0.070
62,-0.069
63,-0.069
64,-0.070
65,-0.069
66,-0.068
67,-0.068
68,-0.069
69,-0.069
70,-0.066
71,-0.067
72,-0.070
73,-0.069
74,-0.068
75,-0.068
76,-0.065
77,-0.065
78,-0.065
79,-0.064
80,-0.065
81,-0.062
82,-0.059
83,-0.057
84,-0.054
85,-0.054
86,-0.054
87,-0.053
88,-0.051
89,-0.050
90,-0.050
91,-0.048
92,-0.048
93,-0.047
94,-0.043
95,-0.042
96,-0.039
97,-0.036
98,-0.035
99,-0.033
100,-0.035
101,-0.037
102,-0.038
103,-0.040
104,-0.042
105,-0.047
106,-0.052
107,-0.053
108,-0.057
109,-0.058
110,-0.059
111,-0.059
112,-0.058
113,-0.056
114,-0.052
115,-0.053
116,-0.051
117,-0.046
118,-0.045
119,-0.044
120,-0.043
121,-0.042
122,-0.046
123,-0.047
124,-0.048
125,-0.051
126,-0.048
127,-0.045
128,-0.043
129,-0.043
130,-0.041
131,-0.037
132,-0.035
133,-0.034
134,-0.034
135,-0.030
136,-0.029
137,-0.026
138,-0.025
139,-0.023
140,-0.021
141,-0.019
142,-0.019
143,-0.022
144,-0.022
145,-0.025
146,-0.026
147,-0.024
148,-0.022
149,-0.022
150,-0.025
151,-0.032
152,-0.033
153,-0.035
154,-0.038
155,-0.043
156,-0.050
157,-0.053
158,-0.059
159,-0.063
160,-0.065
161,-0.067
162,-0.070
163,-0.076
164,-0.081
165,-0.083
166,-0.083
167,-0.082
168,-0.083
169,-0.084
170,-0.083
171,-0.083
172,-0.081
173,-0.079
174,-0.079
175,-0.079
176,-0.076
177,-0.075
178,-0.076
179,-0.077
180,-0.076
181,-0.077
182,-0.077
183,-0.076
184,-0.078
185,-0.076
186,-0.075
187,-0.074
188,-0.074
189,-0.075
190,-0.075
191,-0.075
192,-0.076
193,-0.077
194,-0.077
195,-0.079
196,-0.082
197,-0.088
198,-0.096
199,-0.107
200,-0.119
201,-0.129
202,-0.138
203,-0.149
204,-0.163
205,-0.175
206,-0.181
207,-0.181
208,-0.186
209,-0.183
210,-0.171
211,-0.153
212,-0.136
213,-0.117
214,-0.100
215,-0.080
216,-0.057
217,-0.042
218,-0.029
219,-0.018
220,0.001
221,0.023
222,0.031
223,0.043
224,0.065
225,0.083
226,0.113
227,0.138
228,0.154
229,0.173
230,0.203
231,0.224
232,0.213
233,0.197
234,0.161
235,0.112
236,0.064
237,0.020
238,-0.009
239,-0.047
240,-0.103
241,-0.123
242,-0.141
243,-0.179
244,-0.196
245,-0.206
246,-0.256
247,-0.337
248,-0.415
249,-0.486
250,-0.525
251,-0.542
252,-0.556
253,-0.567
254,-0.578
255,-0.578
256,-0.569
257,-0.569
258,-0.552
259,-0.529
260,-0.512
261,-0.477
262,-0.438
263,-0.400
264,-0.349
265,-0.302
266,-0.272
267,-0.234
268,-0.196
269,-0.167
270,-0.143
271,-0.126
272,-0.111
273,-0.095
274,-0.080
275,-0.071
276,-0.065
277,-0.062
278,-0.059
279,-0.046
280,-0.045
281,-0.042
282,-0.033
283,-0.029
284,-0.028
285,-0.028
286,-0.027
287,-0.017
288,-0.009
289,-0.015
290,-0.015
291,-0.011
292,-0.008
293,-0.006
294,-0.003
295,-0.003
296,-0.009
297,-0.009
298,-0.008
299,-0.006
300,-0.005
301,-0.001
302,0.000
303,-0.005
304,-0.003
305,0.005
306,0.012
307,0.009
308,0.011
309,0.019
310,0.013
311,0.015
312,0.017
313,0.013
314,0.015
315,0.011
316,0.008
317,0.006
318,0.011
319,0.011
320,0.015
321,0.018
322,0.017
323,0.021
324,0.027
325,0.031
326,0.031
327,0.035
328,0.035
329,0.039
330,0.042
331,0.041
332,0.035
333,0.035
334,0.037
335,0.037
336,0.045
337,0.038
338,0.036
339,0.030
340,0.024
341,0.032
342,0.030
343,0.027
344,0.037
345,0.035
346,0.025
347,0.025
348,0.020
349,0.018
350,0.018
351,0.014
352,0.013
353,0.009
354,0.010
355,0.010
356,0.015
357,0.015
358,0.018
359,0.030
360,0.033
361,0.038
362,0.035
363,0.034
364,0.043
365,0.043
366,0.046
367,0.056
368,0.048
369,0.048
370,0.051
371,0.043
372,0.042
373,0.037
374,0.030
375,0.028
376,0.030
377,0.032
378,0.030
379,0.025
380,0.033
381,0.038
382,0.034
383,0.036
384,0.036
385,0.035
386,0.028
387,0.025
388,0.033
389,0.033
390,0.036
391,0.038
392,0.037
393,0.041
394,0.041
395,0.040
396,0.032
397,0.026
398,0.030
399,0.028
400,0.024
401,0.020
402,0.013
403,0.015
404,0.013
405,0.009
406,0.011
407,0.008
408,0.013
409,0.013
410,0.011
411,0.013
412,0.011
413,0.015
414,0.013
415,0.006
416,0.009
417,0.008
418,0.004
419,0.000
420,0.003
421,0.003
422,0.002
423,-0.001
424,-0.004
425,-0.003
426,-0.009
427,-0.013
428,-0.016
429,-0.028
430,-0.035
431,-0.040
432,-0.046
433,-0.051
434,-0.052
435,-0.057
436,-0.056
437,-0.059
438,-0.061
439,-0.058
440,-0.068
441,-0.069
442,-0.062
443,-0.065
444,-0.066
445,-0.072
446,-0.075
447,-0.070
448,-0.077
449,-0.093
450,-0.093
451,-0.088
452,-0.090
453,-0.099
454,-0.102
455,-0.092
456,-0.095
457,-0.106
458,-0.115
459,-0.122
460,-0.126
461,-0.128
462,-0.127
463,-0.134
464,-0.138
465,-0.134
466,-0.133
467,-0.134
468,-0.138
469,-0.144
470,-0.146
471,-0.146
472,-0.149
473,-0.150
474,-0.140
475,-0.138
476,-0.145
477,-0.141
478,-0.141
479,-0.150
480,-0.148
481,-0.149
482,-0.156
483,-0.165
484,-0.167
485,-0.160
486,-0.160
487,-0.165
488,-0.163
489,-0.150
490,-0.148
491,-0.154
492,-0.152
493,-0.143
494,-0.135
495,-0.141
496,-0.144
497,-0.142
498,-0.147
499,-0.141
500,-0.138
501,-0.140
502,-0.139
503,-0.137
504,-0.129
505,-0.124
506,-0.127
507,-0.129
508,-0.120
509,-0.120
510,-0.118
511,-0.117
512,-0.113
513,-0.103
514,-0.111
515,-0.110
516,-0.112
517,-0.112
518,-0.109
519,-0.116
520,-0.114
521,-0.114
522,-0.120
523,-0.124
524,-0.125
525,-0.126
526,-0.130
527,-0.129
528,-0.114
529,-0.113
530,-0.117
531,-0.108
532,-0.114
533,-0.108
534,-0.103
535,-0.106
536,-0.103
537,-0.102
538,-0.092
